student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
30,14,female,public,phd,0.5,77.0,yes,15-30 min,no,coaching,40.8,34.7,36.4,37.3,f
31,17,female,private,post graduate,3.7,77.4,yes,15-30 min,no,group study,54.3,64.8,60.7,59.9,d
32,15,other,public,phd,3.7,90.8,yes,<15 min,yes,coaching,72.3,68.1,68.7,69.7,c
33,14,male,private,no formal,4.4,90.7,yes,>60 min,yes,notes,69.6,68.4,55.3,64.4,d
34,19,other,private,diploma,1.7,75.7,yes,>60 min,no,group study,40.2,42.3,36.9,39.8,f
35,19,female,private,high school,6.2,65.9,no,<15 min,no,notes,68.9,77.4,70.7,72.3,c
36,18,other,public,graduate,8.0,75.0,yes,30-60 min,no,textbook,96.3,90.0,93.1,93.1,a
37,16,female,private,high school,4.2,60.5,no,15-30 min,no,online videos,61.5,59.1,53.6,58.1,d
38,14,female,public,post graduate,4.9,86.3,yes,15-30 min,no,online videos,77.0,79.4,76.2,77.5,b
39,17,other,public,graduate,0.5,72.3,yes,<15 min,no,mixed,29.8,32.6,30.4,30.9,f
40,16,female,public,graduate,3.3,59.1,yes,<15 min,no,online videos,57.9,50.2,52.7,53.6,e
41,15,female,public,post graduate,2.7,94.3,yes,<15 min,no,textbook,56.5,56.9,66.2,59.9,d
42,16,male,public,diploma,2.4,74.8,yes,15-30 min,yes,coaching,46.5,50.4,48.5,48.5,e
43,14,male,private,high school,2.8,64.2,yes,15-30 min,yes,group study,48.5,47.8,44.4,46.9,e
44,19,female,public,graduate,3.0,91.5,yes,<15 min,yes,notes,57.8,56.3,52.0,55.4,d
45,15,other,public,phd,1.1,93.1,no,30-60 min,no,online videos,33.9,38.1,36.9,36.3,f
46,17,female,private,graduate,3.2,50.0,yes,15-30 min,yes,online videos,46.5,52.7,48.6,49.3,e
47,16,male,public,graduate,2.0,90.9,yes,<15 min,yes,notes,50.2,52.6,48.8,50.5,e
48,17,female,private,phd,6.0,77.3,yes,15-30 min,yes,textbook,87.0,81.5,80.6,83.0,b
49,17,female,private,diploma,5.0,89.0,yes,30-60 min,no,notes,69.8,73.2,70.6,71.2,c
50,15,female,private,phd,5.0,74.0,no,15-30 min,no,group study,74.0,72.3,59.6,68.6,c
51,19,other,public,high school,6.4,80.5,yes,15-30 min,no,mixed,83.3,82.6,86.8,84.2,b
52,18,other,private,diploma,2.5,70.6,yes,<15 min,yes,coaching,43.6,44.2,50.4,46.1,e
53,19,male,private,high school,4.8,89.3,yes,<15 min,yes,textbook,67.3,75.5,72.3,71.7,c
54,18,other,private,diploma,6.6,65.3,yes,<15 min,no,mixed,85.0,89.0,80.4,84.8,b
55,17,female,public,high school,2.3,89.8,yes,30-60 min,yes,online videos,48.5,51.5,48.5,49.5,e
56,19,other,private,high school,0.5,77.6,yes,15-30 min,no,mixed,27.2,34.4,32.6,31.4,f
57,14,male,private,high school,2.8,85.9,yes,30-60 min,no,mixed,49.7,45.1,45.4,46.7,e
58,15,other,public,high school,6.3,60.5,yes,30-60 min,no,coaching,78.2,76.7,69.9,74.9,c
59,14,male,private,no formal,2.2,81.1,yes,15-30 min,yes,coaching,45.5,40.5,49.1,45.0,e
60,16,female,private,post graduate,3.3,82.7,yes,<15 min,no,mixed,60.0,58.9,65.5,61.5,d
61,16,male,private,high school,2.6,100.0,yes,>60 min,no,textbook,52.5,53.6,52.9,53.0,e
62,15,male,public,diploma,3.8,85.0,yes,<15 min,yes,mixed,58.4,60.7,64.7,61.3,d
63,18,male,private,no formal,2.0,66.5,yes,>60 min,no,textbook,37.2,31.8,37.3,35.4,f
64,16,male,public,no formal,1.0,65.9,yes,30-60 min,yes,online videos,28.3,26.9,21.9,25.7,f
65,15,male,private,post graduate,3.3,86.0,yes,<15 min,yes,notes,68.1,64.6,58.0,63.6,d
66,17,other,public,post graduate,3.7,67.2,yes,>60 min,yes,textbook,56.0,53.6,56.1,55.2,d
67,15,male,public,post graduate,6.7,67.5,yes,15-30 min,yes,notes,85.6,83.1,80.4,83.0,b
68,18,female,public,diploma,4.4,62.6,yes,30-60 min,yes,mixed,61.2,63.2,63.1,62.5,d
69,14,male,private,no formal,1.7,76.9,yes,>60 min,yes,online videos,31.5,41.3,36.2,36.3,f
70,19,other,private,no formal,2.7,78.2,yes,15-30 min,no,textbook,45.9,42.6,49.5,46.0,e
71,18,other,public,graduate,5.8,70.3,yes,15-30 min,no,mixed,75.4,84.2,73.3,77.6,b
72,15,male,public,post graduate,3.3,99.4,yes,30-60 min,yes,online videos,63.8,71.2,67.5,67.5,c
73,14,female,public,post graduate,1.9,83.2,yes,15-30 min,yes,notes,47.6,54.5,42.8,48.3,e
74,18,male,private,high school,4.4,100.0,yes,<15 min,yes,textbook,69.2,71.0,72.6,70.9,c
75,17,other,public,high school,2.5,76.9,yes,<15 min,yes,notes,46.9,50.4,55.5,50.9,e
76,17,female,public,no formal,5.3,64.4,yes,<15 min,no,notes,66.1,66.2,62.4,64.9,d
77,18,male,private,post graduate,5.0,60.7,yes,15-30 min,no,coaching,70.1,73.8,66.8,70.2,c
78,14,female,public,high school,1.8,73.2,yes,<15 min,yes,notes,41.1,35.5,36.4,37.7,f
79,16,male,public,diploma,8.0,85.8,yes,<15 min,yes,notes,100.0,100.0,100.0,100.0,a
80,14,female,public,phd,4.0,70.7,yes,<15 min,yes,coaching,69.7,66.7,58.6,65.0,c
81,18,other,private,graduate,0.5,87.3,yes,15-30 min,no,mixed,37.9,35.7,29.7,34.4,f
82,17,female,private,no formal,5.1,95.2,yes,<15 min,yes,textbook,73.0,73.0,75.6,73.9,c
83,16,female,private,no formal,0.5,63.4,yes,30-60 min,yes,mixed,22.4,27.2,19.9,23.2,f
84,14,male,public,post graduate,6.5,59.2,yes,>60 min,yes,textbook,69.2,77.9,77.1,74.7,c
85,16,male,private,diploma,4.4,88.7,yes,15-30 min,no,group study,74.4,71.4,72.2,72.7,c
86,16,male,public,graduate,3.9,78.9,yes,30-60 min,no,online videos,60.5,66.4,60.8,62.6,d
87,17,other,private,high school,4.1,79.7,yes,15-30 min,yes,coaching,60.8,65.8,62.6,63.1,d
88,17,male,private,post graduate,5.3,85.0,yes,15-30 min,yes,mixed,77.1,84.4,76.5,79.3,b
89,18,female,private,post graduate,3.0,53.0,yes,30-60 min,yes,coaching,50.5,41.2,53.1,48.3,e
90,16,female,public,post graduate,4.1,81.4,yes,30-60 min,no,group study,65.2,68.9,68.5,67.5,c
91,14,male,private,high school,4.3,77.6,yes,>60 min,yes,notes,55.5,56.4,58.5,56.8,d
92,17,female,private,high school,0.5,81.7,yes,>60 min,no,online videos,23.2,29.1,28.1,26.8,f
93,18,female,public,high school,5.4,61.3,yes,30-60 min,no,mixed,71.5,57.0,62.2,63.6,d
94,17,female,private,phd,5.7,76.2,yes,>60 min,no,mixed,73.2,76.3,78.4,76.0,b
95,18,female,private,high school,5.1,68.0,yes,<15 min,no,coaching,66.6,71.6,65.1,67.8,c
96,16,female,private,no formal,4.9,90.0,yes,<15 min,yes,coaching,76.5,71.3,78.2,75.3,b
97,17,male,private,high school,7.5,73.8,yes,15-30 min,no,notes,84.0,95.0,82.8,87.3,a
98,16,female,public,post graduate,4.0,66.4,yes,30-60 min,yes,notes,56.3,52.7,58.2,55.7,d
99,14,other,private,post graduate,4.1,60.7,yes,<15 min,yes,online videos,57.5,58.4,62.5,59.5,d
100,14,male,private,post graduate,2.7,87.6,yes,30-60 min,yes,notes,59.5,48.1,62.1,56.6,d
101,14,female,public,diploma,0.5,89.1,yes,30-60 min,no,textbook,33.6,32.3,37.8,34.6,f
102,17,male,public,phd,5.1,100.0,yes,>60 min,no,coaching,80.2,74.4,84.8,79.8,b
103,16,male,public,no formal,2.9,70.4,yes,<15 min,no,notes,43.4,42.7,46.8,44.3,f
104,16,female,public,post graduate,0.5,60.4,yes,15-30 min,yes,notes,37.3,34.3,29.1,33.6,f
105,19,other,private,diploma,3.9,73.2,yes,<15 min,yes,coaching,59.8,53.6,56.3,56.6,d
106,15,other,public,diploma,3.9,65.0,yes,<15 min,yes,mixed,53.5,54.1,60.1,55.9,d
107,16,male,public,no formal,3.6,65.9,yes,>60 min,yes,textbook,46.9,41.1,49.4,45.8,e
108,18,female,public,no formal,4.4,81.8,yes,<15 min,no,online videos,63.1,68.7,68.9,66.9,c
109,15,female,public,high school,0.7,90.7,yes,<15 min,no,mixed,35.6,39.2,23.0,32.6,f
110,14,male,public,high school,6.2,80.9,yes,>60 min,yes,coaching,84.1,74.8,82.2,80.4,b
111,15,other,public,diploma,5.0,76.6,yes,15-30 min,no,mixed,77.9,72.7,64.4,71.7,c
112,15,other,public,no formal,6.8,86.8,yes,30-60 min,yes,textbook,92.0,89.1,92.9,91.3,a
113,19,other,private,no formal,2.9,71.7,yes,30-60 min,no,textbook,36.9,46.2,48.9,44.0,f
114,18,male,public,post graduate,5.0,95.9,yes,<15 min,yes,coaching,82.1,73.9,79.1,78.4,b
115,17,male,private,phd,0.5,100.0,yes,15-30 min,no,online videos,42.8,37.4,41.0,40.4,f
116,18,other,public,phd,2.3,65.9,yes,30-60 min,no,mixed,44.0,43.8,40.5,42.8,f
117,18,other,public,graduate,1.1,92.4,yes,30-60 min,yes,coaching,45.0,40.0,43.5,42.8,f
118,15,other,public,post graduate,4.6,92.4,yes,15-30 min,yes,group study,80.0,68.5,70.1,72.9,c
119,18,male,public,post graduate,1.7,82.6,yes,15-30 min,no,coaching,45.9,50.1,44.6,46.9,e
120,17,female,public,graduate,3.1,93.5,yes,>60 min,yes,mixed,55.8,59.5,58.4,57.9,d
121,18,female,public,high school,4.1,80.1,yes,15-30 min,yes,notes,62.6,66.8,61.5,63.6,d
122,18,male,public,high school,3.2,84.3,yes,30-60 min,yes,online videos,45.4,62.5,57.3,55.1,d
123,16,female,private,high school,1.2,76.2,no,30-60 min,no,online videos,37.0,29.6,36.8,34.5,f
124,14,female,public,post graduate,7.6,77.0,yes,<15 min,no,notes,92.9,85.8,98.8,92.5,a
125,15,male,private,graduate,4.3,84.2,yes,15-30 min,yes,notes,71.7,69.7,72.1,71.2,c
126,16,male,private,diploma,7.7,81.1,yes,15-30 min,yes,textbook,96.0,90.9,94.2,93.7,a
127,18,female,private,no formal,1.8,59.9,yes,15-30 min,yes,mixed,34.7,35.2,38.0,36.0,f
128,18,female,public,high school,3.3,82.3,no,<15 min,yes,online videos,58.8,58.1,52.9,56.6,d
129,14,other,private,graduate,4.3,71.5,yes,<15 min,yes,textbook,66.8,62.7,65.8,65.1,c
130,16,female,public,diploma,7.4,67.0,no,30-60 min,no,online videos,83.4,89.3,85.6,86.1,a
131,16,male,public,diploma,7.7,89.0,yes,15-30 min,no,online videos,98.1,100.0,100.0,99.4,a
132,15,other,public,high school,3.1,61.6,yes,30-60 min,yes,group study,46.7,43.7,42.0,44.1,f
133,14,other,private,graduate,2.5,71.1,yes,<15 min,no,online videos,51.0,43.5,49.5,48.0,e
134,16,male,public,phd,4.1,59.6,no,15-30 min,yes,coaching,57.5,58.1,60.7,58.8,d
135,19,other,private,post graduate,6.7,69.2,yes,15-30 min,yes,mixed,82.7,87.2,90.3,86.7,a
136,16,male,public,no formal,4.4,100.0,no,<15 min,no,mixed,78.6,68.9,65.1,70.9,c
137,16,male,private,diploma,4.8,64.0,yes,<15 min,no,coaching,63.6,65.8,69.6,66.3,c
138,17,male,private,high school,6.7,72.8,yes,>60 min,no,mixed,79.3,84.2,81.6,81.7,b
139,16,male,private,diploma,6.3,95.0,yes,<15 min,no,online videos,93.0,85.6,97.5,92.0,a
140,19,other,private,graduate,6.4,81.3,yes,<15 min,yes,coaching,88.2,89.2,89.5,89.0,a
141,19,other,private,high school,5.6,73.0,yes,30-60 min,yes,mixed,67.9,71.5,79.8,73.1,c
142,15,other,private,post graduate,7.2,65.0,yes,>60 min,yes,mixed,92.1,88.7,86.3,89.0,a
143,16,other,public,diploma,1.6,84.7,yes,>60 min,yes,coaching,46.4,46.9,41.2,44.8,f
144,16,female,public,phd,8.0,70.3,yes,30-60 min,yes,online videos,100.0,97.5,97.8,98.4,a
145,15,other,private,no formal,6.6,100.0,no,30-60 min,yes,textbook,81.5,97.5,87.7,88.9,a
146,14,other,public,high school,3.9,70.9,yes,>60 min,yes,mixed,53.8,55.3,55.9,55.0,d
147,17,other,private,graduate,6.7,99.3,yes,15-30 min,yes,coaching,100.0,93.5,94.9,96.1,a
148,16,other,public,graduate,3.5,87.6,yes,<15 min,no,coaching,56.5,71.7,63.6,63.9,d
149,14,other,private,graduate,5.3,87.5,yes,30-60 min,no,notes,71.9,75.6,71.7,73.1,c
150,15,male,public,phd,5.5,72.7,yes,15-30 min,no,mixed,84.0,71.6,74.4,76.7,b
151,19,other,public,diploma,6.1,68.4,yes,15-30 min,no,coaching,79.2,78.0,69.7,75.6,b
152,15,other,public,diploma,3.3,71.3,yes,15-30 min,no,group study,53.5,49.2,56.0,52.9,e
153,15,other,private,post graduate,6.2,90.1,yes,15-30 min,yes,group study,85.2,90.8,91.3,89.1,a
154,16,male,public,diploma,3.3,82.5,yes,>60 min,yes,mixed,62.1,56.9,57.1,58.7,d
155,19,female,private,diploma,5.8,50.0,yes,>60 min,yes,notes,69.7,69.3,69.7,69.6,c
156,15,other,private,graduate,4.2,56.4,yes,30-60 min,yes,notes,57.0,55.9,56.5,56.5,d
157,17,male,private,graduate,0.5,73.1,yes,<15 min,no,coaching,38.3,31.0,32.0,33.8,f
158,18,female,public,high school,2.7,82.7,yes,15-30 min,no,online videos,45.4,51.3,51.1,49.3,e
159,15,male,public,high school,6.1,71.7,yes,<15 min,yes,notes,78.8,69.2,77.7,75.2,b
160,17,female,public,diploma,3.6,67.8,yes,15-30 min,no,coaching,53.6,60.3,57.0,57.0,d
161,16,female,public,no formal,6.9,60.8,yes,15-30 min,no,group study,87.8,74.1,74.6,78.8,b
162,17,female,private,phd,1.6,88.1,yes,30-60 min,no,group study,46.2,52.4,42.6,47.1,e
163,17,female,private,high school,5.8,76.4,yes,15-30 min,no,textbook,68.1,74.7,74.6,72.5,c
164,17,female,public,high school,4.2,99.2,yes,<15 min,no,textbook,67.5,65.8,72.7,68.7,c
165,14,male,private,graduate,3.7,56.3,yes,<15 min,yes,group study,49.7,57.8,56.6,54.7,e
166,18,male,private,graduate,1.7,85.0,yes,<15 min,no,online videos,48.7,46.3,45.0,46.7,e
167,16,male,private,graduate,4.7,82.9,yes,30-60 min,no,textbook,70.7,66.0,78.4,71.7,c
168,15,male,private,diploma,2.1,87.2,yes,15-30 min,no,group study,45.1,49.5,51.2,48.6,e
169,14,female,private,post graduate,2.9,86.9,yes,15-30 min,no,online videos,56.8,64.1,59.1,60.0,d
170,17,other,public,diploma,4.0,67.7,yes,15-30 min,no,group study,54.9,56.6,65.2,58.9,d
171,17,male,private,diploma,3.5,72.4,yes,30-60 min,no,group study,55.6,55.7,49.9,53.7,e
172,14,male,private,post graduate,6.5,77.4,yes,<15 min,yes,textbook,83.0,89.1,84.5,85.5,a
173,16,other,private,high school,0.5,60.6,no,15-30 min,yes,notes,21.3,21.6,19.7,20.9,f
174,15,male,public,post graduate,3.9,89.9,yes,<15 min,yes,mixed,70.4,68.2,69.1,69.2,c
175,17,other,public,diploma,3.5,50.0,yes,<15 min,no,mixed,49.2,43.7,48.8,47.2,e
176,15,other,public,post graduate,4.2,58.3,yes,<15 min,yes,mixed,59.3,64.2,62.2,61.9,d
177,17,male,public,high school,3.1,50.8,no,15-30 min,yes,online videos,44.3,39.3,44.8,42.8,f
178,16,male,private,phd,6.5,90.8,yes,30-60 min,no,textbook,80.3,90.8,90.5,87.2,a
179,19,female,private,graduate,3.7,78.1,yes,15-30 min,yes,textbook,59.3,62.2,59.1,60.2,d
180,15,male,public,graduate,4.5,67.3,no,<15 min,yes,online videos,61.1,62.9,65.6,63.2,d
181,16,male,public,diploma,6.2,76.4,yes,30-60 min,yes,coaching,80.9,84.9,81.0,82.3,b
182,14,male,private,phd,4.4,78.8,no,<15 min,yes,online videos,71.7,73.0,63.6,69.4,c
183,19,other,public,diploma,1.5,57.1,yes,15-30 min,yes,textbook,38.0,41.7,36.8,38.8,f
184,18,female,public,diploma,3.3,77.1,yes,>60 min,yes,mixed,58.1,52.5,53.4,54.7,e
185,15,male,private,post graduate,4.0,95.0,yes,30-60 min,yes,online videos,74.6,65.6,72.5,70.9,c
186,17,other,public,high school,0.7,97.5,yes,>60 min,yes,mixed,33.9,38.4,29.3,33.9,f
187,18,female,public,high school,2.7,87.3,yes,<15 min,yes,online videos,46.4,54.1,53.2,51.2,e
188,17,female,public,post graduate,4.1,78.7,yes,15-30 min,no,group study,65.9,63.0,66.0,65.0,c
189,17,male,private,no formal,8.0,88.3,yes,15-30 min,yes,notes,95.7,95.6,95.1,95.5,a
190,15,female,private,post graduate,5.1,85.2,yes,30-60 min,no,textbook,70.3,74.0,73.8,72.7,c
191,14,other,public,graduate,4.6,58.8,yes,15-30 min,yes,textbook,58.0,54.9,64.6,59.2,d
192,18,male,public,diploma,7.9,61.8,yes,30-60 min,no,mixed,84.6,92.9,94.9,90.8,a
193,19,male,private,high school,5.5,84.1,yes,15-30 min,yes,group study,79.0,76.4,78.5,78.0,b
194,17,male,private,post graduate,5.8,65.4,no,<15 min,yes,mixed,78.5,71.9,69.1,73.2,c
195,16,male,private,post graduate,3.4,60.2,yes,30-60 min,yes,textbook,45.1,56.1,48.0,49.7,e
196,16,female,private,diploma,1.5,93.6,yes,15-30 min,yes,notes,50.5,51.7,41.7,48.0,e
197,17,other,private,diploma,4.8,75.9,yes,30-60 min,yes,coaching,68.7,66.3,74.2,69.7,c
198,18,other,private,high school,8.0,74.1,yes,<15 min,no,group study,97.3,89.2,97.5,94.7,a
199,18,male,private,graduate,7.5,57.7,yes,>60 min,yes,mixed,81.1,84.9,87.3,84.4,b
200,18,female,private,graduate,5.7,68.5,yes,>60 min,yes,online videos,80.7,74.5,71.7,75.6,b
201,17,female,private,high school,2.8,70.1,yes,30-60 min,no,notes,41.6,44.5,42.2,42.8,f
202,14,female,public,post graduate,0.9,62.0,no,15-30 min,no,notes,26.5,28.7,24.3,26.5,f
203,15,female,private,post graduate,2.5,57.5,yes,15-30 min,no,notes,41.4,39.7,44.3,41.8,f
204,18,male,private,no formal,4.7,100.0,yes,<15 min,yes,textbook,72.5,70.1,77.1,73.2,c
205,17,female,private,post graduate,3.2,95.3,yes,>60 min,yes,group study,63.3,65.3,62.6,63.7,d
206,14,female,public,post graduate,6.4,73.5,no,<15 min,no,mixed,74.2,87.7,83.6,81.8,b
207,14,other,private,phd,1.0,55.9,yes,15-30 min,no,mixed,28.0,26.2,25.5,26.6,f
208,17,other,private,high school,4.0,50.2,yes,<15 min,no,group study,53.9,46.0,50.7,50.2,e
209,14,male,public,diploma,2.6,68.5,yes,<15 min,yes,online videos,47.1,49.7,55.6,50.8,e
210,15,male,private,phd,6.4,50.0,no,15-30 min,no,notes,66.1,69.5,67.0,67.5,c
211,17,other,private,no formal,5.4,68.5,yes,30-60 min,yes,mixed,65.2,74.9,68.8,69.6,c
212,17,female,public,diploma,2.5,50.0,yes,30-60 min,yes,textbook,43.2,34.0,39.7,39.0,f
213,17,other,public,diploma,6.1,73.6,yes,<15 min,no,online videos,80.6,80.2,76.2,79.0,b
214,15,male,private,graduate,0.7,77.8,no,30-60 min,no,online videos,31.2,26.0,38.9,32.0,f
215,17,female,private,high school,0.5,72.3,yes,30-60 min,yes,coaching,24.2,26.7,37.2,29.4,f
216,15,female,public,phd,2.3,100.0,no,<15 min,yes,mixed,60.7,56.4,55.5,57.5,d
217,16,other,public,high school,0.5,72.0,yes,<15 min,no,group study,29.4,19.0,22.2,23.5,f
218,18,male,public,graduate,4.0,99.9,yes,<15 min,yes,textbook,69.6,68.1,68.6,68.8,c
219,17,male,public,diploma,4.1,79.3,yes,15-30 min,yes,notes,67.6,63.4,63.9,65.0,c
220,18,female,public,high school,3.4,100.0,no,>60 min,yes,coaching,56.3,58.1,60.5,58.3,d
221,17,other,private,high school,5.4,50.0,yes,>60 min,yes,textbook,63.4,60.5,71.1,65.0,c
222,17,other,private,phd,2.7,59.4,yes,>60 min,no,group study,41.5,42.9,39.6,41.3,f
223,14,other,private,diploma,1.4,70.9,yes,<15 min,no,mixed,37.0,47.5,39.3,41.3,f
224,16,other,public,graduate,2.5,98.1,yes,>60 min,yes,mixed,50.7,57.1,58.9,55.6,d
225,15,male,public,post graduate,1.6,71.6,yes,<15 min,yes,coaching,42.2,40.2,50.9,44.4,f
226,15,male,public,no formal,2.9,65.2,yes,30-60 min,yes,notes,39.7,40.5,44.3,41.5,f
227,19,male,private,graduate,5.6,83.7,no,<15 min,no,group study,74.4,80.9,80.9,78.7,b
228,16,female,private,high school,0.5,88.0,yes,15-30 min,yes,mixed,30.3,29.9,39.9,33.4,f
229,18,other,private,graduate,3.5,64.0,no,30-60 min,no,online videos,55.7,54.0,46.7,52.1,e
230,17,other,public,no formal,6.3,65.1,yes,15-30 min,yes,mixed,76.4,82.6,72.2,77.1,b
231,18,male,private,post graduate,6.6,99.4,yes,15-30 min,no,textbook,93.7,95.8,91.5,93.7,a
232,16,female,private,graduate,2.8,93.0,yes,30-60 min,no,online videos,57.0,61.0,52.4,56.8,d
233,17,other,private,diploma,8.0,96.8,yes,30-60 min,no,textbook,100.0,100.0,100.0,100.0,a
234,16,female,private,diploma,2.0,88.5,yes,30-60 min,no,coaching,46.8,50.6,48.4,48.6,e
235,15,male,private,no formal,3.8,62.7,yes,15-30 min,yes,mixed,59.8,48.7,55.1,54.5,e
236,17,female,public,post graduate,1.7,74.5,yes,<15 min,no,notes,36.8,49.3,48.8,45.0,e
237,15,female,private,no formal,5.2,59.7,yes,15-30 min,no,group study,63.9,70.9,60.5,65.1,c
238,14,female,public,diploma,8.0,89.1,yes,15-30 min,yes,notes,100.0,97.8,100.0,99.3,a
239,17,female,public,high school,8.0,67.2,yes,<15 min,no,notes,89.0,92.2,87.4,89.5,a
240,15,male,public,phd,6.1,50.4,yes,15-30 min,no,group study,75.7,76.4,72.9,75.0,b
241,19,other,private,graduate,2.9,76.6,yes,30-60 min,yes,online videos,52.2,56.4,49.9,52.8,e
242,19,female,public,no formal,3.9,91.2,no,<15 min,yes,mixed,55.8,69.8,64.9,63.5,d
243,19,female,private,graduate,6.7,55.2,yes,15-30 min,yes,mixed,79.9,83.3,79.1,80.8,b
244,16,other,private,phd,5.9,73.2,yes,<15 min,no,textbook,76.8,80.3,83.2,80.1,b
245,14,male,private,graduate,4.4,67.0,yes,<15 min,no,textbook,58.9,61.8,61.9,60.9,d
246,19,male,private,diploma,4.6,89.3,yes,15-30 min,no,notes,76.3,71.5,75.0,74.3,c
247,16,other,private,high school,6.6,50.0,yes,<15 min,yes,notes,69.3,78.3,71.8,73.1,c
248,19,male,public,no formal,7.1,91.3,yes,15-30 min,yes,online videos,96.1,96.2,91.2,94.5,a
249,19,other,public,high school,1.0,64.8,yes,30-60 min,no,online videos,36.7,28.2,28.2,31.0,f
250,18,male,private,diploma,4.8,72.7,yes,15-30 min,no,notes,76.8,67.3,65.6,69.9,c
251,15,male,public,graduate,5.5,87.4,yes,>60 min,no,notes,84.3,75.8,74.6,78.2,b
252,16,female,public,post graduate,3.1,96.3,yes,30-60 min,no,group study,59.4,59.5,61.8,60.2,d
253,18,male,private,post graduate,7.0,75.7,yes,>60 min,no,notes,86.7,79.5,84.4,83.5,b
254,16,other,private,no formal,3.6,64.6,yes,15-30 min,yes,notes,48.7,49.6,50.1,49.5,e
255,15,female,private,post graduate,7.1,67.3,yes,15-30 min,no,group study,91.9,89.4,89.4,90.2,a
256,17,other,private,graduate,3.5,91.8,no,30-60 min,no,coaching,68.3,62.5,54.3,61.7,d
257,19,other,private,diploma,4.8,62.3,yes,15-30 min,yes,online videos,62.5,69.7,64.8,65.7,c
258,17,male,public,graduate,4.8,79.7,yes,<15 min,yes,notes,76.6,73.9,67.9,72.8,c
259,17,other,public,no formal,7.9,75.1,no,<15 min,yes,online videos,96.9,100.0,90.7,95.9,a
260,14,female,private,no formal,5.9,85.9,no,<15 min,yes,group study,83.1,76.0,77.4,78.8,b
261,17,other,public,diploma,3.3,75.5,yes,15-30 min,yes,notes,55.6,55.1,56.1,55.6,d
262,19,other,public,high school,3.7,68.8,no,30-60 min,yes,group study,47.5,43.4,49.7,46.9,e
263,15,female,private,diploma,3.7,67.7,yes,15-30 min,no,mixed,56.0,53.9,59.9,56.6,d
